Angle  Distance cm
0  150
2  150
4  150
6  150.88
8  150.53
10  150.55
12  150.64
14  150.58
16  150.94
18  150.46
20  67.72
22  63.34
24  63.71
26  61.96
28  62.29
30  61.63
32  61.38
34  60.89
36  61.32
38  61.29
40  61.23
42  60.46
44  60.81
46  60.76
48  61.22
50  60.82
52  60.47
54  60.82
56  60.81
58  60.87
60  61.26
62  61.73
64  61.75
66  61.87
68  61.62
70  62.78
72  62.42
74  63.80
76  63.83
78  64.65
80  150
82  150
84  73.44
86  73.44
88  73.29
90  73.03
92  73.72
94  73.65
96  73.48
98  73.58
100  73.96
102  73.00
104  73.02
106  73.07
108  73.68
110  73.40
112  73.38
114  150.42
116  150.62
118  75.40
120  64.79
122  61.72
124  61.28
126  61.62
128  60.76
130  60.73
132  61.13
134  60.25
136  60.66
138  60.26
140  60.26
142  60.63
144  60.69
146  61.09
148  61.14
150  61.17
152  61.60
154  61.21
156  60.83
158  62.12
160  63.41
162  63.44
164  150
166  150
168  150.96
170  150.11
172  150.27
174  150.58
176  150.38
178  150.26
180  150.20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
